# WARNING | PUMAS | Modeling multiple-scattering accurately for Rayleigh would require NMAX to be at least 1 and LMAX 2.
# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Sun Feb 25 03:19:28 2024
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total N2 O2 CO2 H2O Rayleigh CIA
5.006483283e-01 5.75159e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99899e-01 5.75217e-02 9.99998e-01
5.031515699e-01 6.08285e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99496e-01 6.08595e-02 9.99994e-01
5.056673278e-01 6.43018e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99735e-01 6.43192e-02 9.99993e-01
5.081956644e-01 6.78785e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99666e-01 6.79014e-02 9.99995e-01
5.107366428e-01 7.15903e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99774e-01 7.16064e-02 9.99998e-01
5.132903260e-01 7.54248e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99871e-01 7.54344e-02 9.99999e-01
5.158567776e-01 7.93811e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99945e-01 7.93854e-02 9.99999e-01
5.184360615e-01 8.34572e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99977e-01 8.34590e-02 9.99999e-01
5.210282418e-01 8.76543e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99991e-01 8.76550e-02 9.99999e-01
5.236333830e-01 9.19698e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99966e-01 9.19728e-02 9.99999e-01
5.262515499e-01 9.64097e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99979e-01 9.64117e-02 9.99999e-01
5.288828077e-01 1.00969e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99980e-01 1.00971e-01 9.99999e-01
5.315272217e-01 1.05647e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99983e-01 1.05649e-01 9.99999e-01
5.341848578e-01 1.10444e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99988e-01 1.10445e-01 9.99999e-01
5.368557821e-01 1.15353e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99961e-01 1.15358e-01 9.99999e-01
5.395400610e-01 1.20368e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99860e-01 1.20385e-01 9.99998e-01
5.422377613e-01 1.25504e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99822e-01 1.25526e-01 9.99996e-01
5.449489501e-01 1.30756e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99833e-01 1.30779e-01 9.99996e-01
5.476736949e-01 1.36120e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99854e-01 1.36140e-01 9.99997e-01
5.504120634e-01 1.41595e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99893e-01 1.41610e-01 9.99999e-01
5.531641237e-01 1.47176e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99946e-01 1.47184e-01 9.99999e-01
5.559299443e-01 1.52858e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99973e-01 1.52861e-01 9.99999e-01
5.587095940e-01 1.58637e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99983e-01 1.58639e-01 9.99999e-01
5.615031420e-01 1.64511e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99981e-01 1.64514e-01 9.99999e-01
5.643106577e-01 1.70481e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99978e-01 1.70485e-01 9.99999e-01
5.671322110e-01 1.76503e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99746e-01 1.76548e-01 9.99997e-01
5.699678720e-01 1.82651e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99738e-01 1.82700e-01 9.99992e-01
5.728177114e-01 1.88886e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99724e-01 1.88939e-01 9.99993e-01
5.756818000e-01 1.95211e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99747e-01 1.95261e-01 9.99996e-01
5.785602090e-01 2.01619e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99780e-01 2.01664e-01 9.99998e-01
5.814530100e-01 2.08097e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99778e-01 2.08143e-01 9.99999e-01
5.843602750e-01 2.14640e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99734e-01 2.14697e-01 9.99998e-01
5.872820764e-01 2.20813e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.97714e-01 2.21322e-01 9.99983e-01
5.902184868e-01 2.27380e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.97258e-01 2.28014e-01 9.99956e-01
5.931695792e-01 2.34305e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98056e-01 2.34771e-01 9.99957e-01
5.961354271e-01 2.41069e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.97874e-01 2.41588e-01 9.99975e-01
5.991161043e-01 2.48076e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98452e-01 2.48463e-01 9.99992e-01
6.021116848e-01 2.55167e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99122e-01 2.55391e-01 9.99998e-01
6.051222432e-01 2.62254e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99556e-01 2.62371e-01 9.99999e-01
6.081478544e-01 2.69346e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99808e-01 2.69397e-01 9.99999e-01
6.111885937e-01 2.76445e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99918e-01 2.76468e-01 9.99999e-01
6.142445367e-01 2.83568e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99963e-01 2.83578e-01 9.99999e-01
6.173157594e-01 2.90720e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99979e-01 2.90726e-01 9.99999e-01
6.204023382e-01 2.97903e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99982e-01 2.97908e-01 9.99999e-01
6.235043498e-01 3.05096e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99923e-01 3.05119e-01 9.99999e-01
6.266218716e-01 3.12234e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99604e-01 3.12358e-01 9.99996e-01
6.297549810e-01 3.19573e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99854e-01 3.19621e-01 9.99993e-01
6.329037559e-01 3.26809e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99713e-01 3.26903e-01 9.99995e-01
6.360682746e-01 3.34121e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99755e-01 3.34203e-01 9.99996e-01
6.392486160e-01 3.41409e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99683e-01 3.41517e-01 9.99998e-01
6.424448591e-01 3.48693e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99572e-01 3.48842e-01 9.99997e-01
6.456570834e-01 3.55465e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98018e-01 3.56175e-01 9.99987e-01
6.488853688e-01 3.62980e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98565e-01 3.63512e-01 9.99969e-01
6.521297956e-01 3.70300e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98537e-01 3.70851e-01 9.99974e-01
6.553904446e-01 3.77629e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98537e-01 3.78189e-01 9.99980e-01
6.586673968e-01 3.85040e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98753e-01 3.85523e-01 9.99993e-01
6.619607338e-01 3.92577e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99305e-01 3.92850e-01 9.99998e-01
6.652705375e-01 4.00001e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99583e-01 4.00168e-01 9.99998e-01
6.685968902e-01 4.07401e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99822e-01 4.07473e-01 9.99999e-01
6.719398746e-01 4.14726e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99909e-01 4.14763e-01 9.99999e-01
6.752995740e-01 4.22016e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99952e-01 4.22036e-01 9.99999e-01
6.786760719e-01 4.29259e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99928e-01 4.29289e-01 9.99999e-01
6.820694522e-01 4.36466e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99877e-01 4.36520e-01 9.99998e-01
6.854797995e-01 4.43656e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99843e-01 4.43726e-01 9.99998e-01
6.889071985e-01 4.50731e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99616e-01 4.50905e-01 9.99996e-01
6.923517345e-01 4.55208e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.93813e-01 4.58055e-01 9.99970e-01
6.958134932e-01 4.63678e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.96849e-01 4.65174e-01 9.99934e-01
6.992925606e-01 4.70788e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.96942e-01 4.72260e-01 9.99940e-01
7.027890234e-01 4.77495e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.96257e-01 4.79310e-01 9.99954e-01
7.063029686e-01 4.84781e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.96850e-01 4.86323e-01 9.99977e-01
7.098344834e-01 4.91801e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.96978e-01 4.93298e-01 9.99986e-01
7.133836558e-01 4.98177e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.95919e-01 5.00232e-01 9.99973e-01
7.169505741e-01 4.90651e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.67719e-01 5.07123e-01 9.99793e-01
7.205353270e-01 5.05769e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.84400e-01 5.13970e-01 9.99635e-01
7.241380036e-01 5.10142e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.79896e-01 5.20772e-01 9.99685e-01
7.277586936e-01 5.17824e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.81859e-01 5.27527e-01 9.99742e-01
7.313974871e-01 5.23950e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.80868e-01 5.34233e-01 9.99879e-01
7.350544745e-01 5.35185e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.89494e-01 5.40890e-01 9.99957e-01
7.387297469e-01 5.43253e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.92270e-01 5.47496e-01 9.99980e-01
7.424233956e-01 5.51954e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.96221e-01 5.54049e-01 9.99996e-01
7.461355126e-01 5.59263e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.97705e-01 5.60549e-01 9.99998e-01
7.498661902e-01 5.66391e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98934e-01 5.66995e-01 9.99999e-01
7.536155211e-01 5.73085e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99475e-01 5.73385e-01 9.99999e-01
7.573835987e-01 5.79563e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99729e-01 5.79720e-01 9.99999e-01
7.611705167e-01 5.85898e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99831e-01 5.85996e-01 9.99999e-01
7.649763693e-01 5.92153e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99894e-01 5.92215e-01 9.99999e-01
7.688012511e-01 5.98331e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99926e-01 5.98375e-01 9.99999e-01
7.726452574e-01 6.04439e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99939e-01 6.04476e-01 9.99999e-01
