# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Sun Jan 28 17:00:05 2024
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total CO2 N2 CO O2 SO2 H2O Rayleigh CIA
4.810655710e-01 1.53671e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.53671e-06 1.21596e-06
4.834708988e-01 1.53486e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.53486e-06 1.21596e-06
4.858882533e-01 1.53301e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21597e-06 1.53301e-06 1.21596e-06
4.883176946e-01 1.53117e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21597e-06 1.53117e-06 1.21596e-06
4.907592831e-01 1.52932e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.52932e-06 1.21596e-06
4.932130795e-01 1.52748e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.52748e-06 1.21596e-06
4.956791449e-01 1.52564e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.52564e-06 1.21596e-06
4.981575406e-01 1.52380e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.52380e-06 1.21596e-06
5.006483283e-01 1.52197e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21598e-06 1.52197e-06 1.21596e-06
5.031515699e-01 1.52015e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21617e-06 1.52014e-06 1.21596e-06
5.056673278e-01 1.51832e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21613e-06 1.51831e-06 1.21596e-06
5.081956644e-01 1.51649e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21609e-06 1.51649e-06 1.21596e-06
5.107366428e-01 1.51467e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21599e-06 1.51467e-06 1.21596e-06
5.132903260e-01 1.51285e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.51285e-06 1.21596e-06
5.158567776e-01 1.51104e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.51104e-06 1.21596e-06
5.184360615e-01 1.50923e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.50923e-06 1.21596e-06
5.210282418e-01 1.50743e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.50743e-06 1.21596e-06
5.236333830e-01 1.50562e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21597e-06 1.50562e-06 1.21596e-06
5.262515499e-01 1.50382e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21597e-06 1.50382e-06 1.21596e-06
5.288828077e-01 1.50203e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21597e-06 1.50203e-06 1.21596e-06
5.315272217e-01 1.50024e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.50024e-06 1.21596e-06
5.341848578e-01 1.49845e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.49845e-06 1.21596e-06
5.368557821e-01 1.49666e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.49666e-06 1.21596e-06
5.395400610e-01 1.49488e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21600e-06 1.49488e-06 1.21596e-06
5.422377613e-01 1.49310e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21605e-06 1.49310e-06 1.21596e-06
5.449489501e-01 1.49133e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21605e-06 1.49132e-06 1.21596e-06
5.476736949e-01 1.48955e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21600e-06 1.48955e-06 1.21596e-06
5.504120634e-01 1.48777e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21598e-06 1.48777e-06 1.21596e-06
5.531641237e-01 1.48600e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.48600e-06 1.21596e-06
5.559299443e-01 1.48423e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.48423e-06 1.21596e-06
5.587095940e-01 1.48246e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.48246e-06 1.21596e-06
5.615031420e-01 1.48069e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.48069e-06 1.21596e-06
5.643106577e-01 1.47893e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.47893e-06 1.21596e-06
5.671322110e-01 1.47716e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21602e-06 1.47716e-06 1.21596e-06
5.699678720e-01 1.47540e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21610e-06 1.47539e-06 1.21596e-06
5.728177114e-01 1.47364e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21610e-06 1.47363e-06 1.21596e-06
5.756818000e-01 1.47187e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21605e-06 1.47186e-06 1.21596e-06
5.785602090e-01 1.47009e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21600e-06 1.47009e-06 1.21596e-06
5.814530100e-01 1.46833e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21598e-06 1.46832e-06 1.21596e-06
5.843602750e-01 1.46656e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21601e-06 1.46655e-06 1.21596e-06
5.872820764e-01 1.46483e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21663e-06 1.46478e-06 1.21596e-06
5.902184868e-01 1.46312e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21724e-06 1.46301e-06 1.21596e-06
5.931695792e-01 1.46133e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21708e-06 1.46123e-06 1.21596e-06
5.961354271e-01 1.45951e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21670e-06 1.45945e-06 1.21596e-06
5.991161043e-01 1.45769e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21623e-06 1.45767e-06 1.21596e-06
6.021116848e-01 1.45589e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21601e-06 1.45589e-06 1.21596e-06
6.051222432e-01 1.45410e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21597e-06 1.45410e-06 1.21596e-06
6.081478544e-01 1.45231e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.45231e-06 1.21596e-06
6.111885937e-01 1.45052e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.45052e-06 1.21596e-06
6.142445367e-01 1.44872e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.44872e-06 1.21596e-06
6.173157594e-01 1.44692e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.44692e-06 1.21596e-06
6.204023382e-01 1.44512e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.44512e-06 1.21596e-06
6.235043498e-01 1.44331e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.44331e-06 1.21596e-06
6.266218716e-01 1.44150e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21606e-06 1.44149e-06 1.21596e-06
6.297549810e-01 1.43969e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21607e-06 1.43968e-06 1.21596e-06
