CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
3.08449,6.8E-4,0.0726,0.0155,-0.0155,Lustig-Yaeger et al. 2023,0.02694,0.00274,-0.00305,Calculated,0.0731,0.0078,-0.0078,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.08517,6.8E-4,0.0965,0.0141,-0.0141,Lustig-Yaeger et al. 2023,0.03106,0.00219,-0.00236,Calculated,0.0843,0.0062,-0.0062,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.08584,6.8E-4,0.1079,0.0149,-0.0149,Lustig-Yaeger et al. 2023,0.03285,0.00219,-0.00235,Calculated,0.0892,0.0062,-0.0062,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.08652,6.8E-4,0.1004,0.0146,-0.0146,Lustig-Yaeger et al. 2023,0.03169,0.00223,-0.00239,Calculated,0.086,0.0063,-0.0063,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.0872,6.8E-4,0.0894,0.0142,-0.0142,Lustig-Yaeger et al. 2023,0.0299,0.00229,-0.00248,Calculated,0.0811,0.0065,-0.0065,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.08787,6.8E-4,0.1046,0.0142,-0.0142,Lustig-Yaeger et al. 2023,0.03234,0.00213,-0.00228,Calculated,0.0878,0.006,-0.006,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.08855,6.8E-4,0.099,0.0144,-0.0144,Lustig-Yaeger et al. 2023,0.03146,0.00221,-0.00238,Calculated,0.0854,0.0062,-0.0062,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.08922,6.8E-4,0.0868,0.0144,-0.0144,Lustig-Yaeger et al. 2023,0.02946,0.00235,-0.00255,Calculated,0.08,0.0066,-0.0066,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.0899,6.8E-4,0.0859,0.0142,-0.0142,Lustig-Yaeger et al. 2023,0.02931,0.00233,-0.00253,Calculated,0.0795,0.0066,-0.0066,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.09057,6.8E-4,0.1188,0.0145,-0.0145,Lustig-Yaeger et al. 2023,0.03447,0.00204,-0.00217,Calculated,0.0935,0.0057,-0.0057,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.09125,6.8E-4,0.112,0.0141,-0.0141,Lustig-Yaeger et al. 2023,0.03347,0.00204,-0.00218,Calculated,0.0908,0.0057,-0.0057,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.09192,6.8E-4,0.1118,0.0143,-0.0143,Lustig-Yaeger et al. 2023,0.03344,0.00207,-0.00221,Calculated,0.0907,0.0058,-0.0058,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.0926,6.8E-4,0.1191,0.0145,-0.0145,Lustig-Yaeger et al. 2023,0.03451,0.00204,-0.00217,Calculated,0.0937,0.0057,-0.0057,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.09328,6.8E-4,0.1104,0.0144,-0.0144,Lustig-Yaeger et al. 2023,0.03323,0.0021,-0.00224,Calculated,0.0902,0.0059,-0.0059,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.09395,6.8E-4,0.1102,0.0141,-0.0141,Lustig-Yaeger et al. 2023,0.0332,0.00206,-0.0022,Calculated,0.0901,0.0058,-0.0058,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.09463,6.8E-4,0.0773,0.0147,-0.0147,Lustig-Yaeger et al. 2023,0.0278,0.00253,-0.00278,Calculated,0.0755,0.0072,-0.0072,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.0953,6.8E-4,0.1222,0.0142,-0.0142,Lustig-Yaeger et al. 2023,0.03496,0.00198,-0.00209,Calculated,0.0949,0.0055,-0.0055,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.09598,6.8E-4,0.1184,0.0151,-0.0151,Lustig-Yaeger et al. 2023,0.03441,0.00213,-0.00227,Calculated,0.0934,0.006,-0.006,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.09665,6.8E-4,0.1154,0.0149,-0.0149,Lustig-Yaeger et al. 2023,0.03397,0.00213,-0.00227,Calculated,0.0922,0.006,-0.006,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.09733,6.8E-4,0.1033,0.0139,-0.0139,Lustig-Yaeger et al. 2023,0.03214,0.00209,-0.00224,Calculated,0.0872,0.0059,-0.0059,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.09801,6.8E-4,0.1228,0.0147,-0.0147,Lustig-Yaeger et al. 2023,0.03504,0.00204,-0.00216,Calculated,0.0951,0.0057,-0.0057,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.09868,6.8E-4,0.1187,0.0141,-0.0141,Lustig-Yaeger et al. 2023,0.03445,0.00199,-0.00211,Calculated,0.0935,0.0056,-0.0056,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.09936,6.8E-4,0.1086,0.0144,-0.0144,Lustig-Yaeger et al. 2023,0.03295,0.00212,-0.00226,Calculated,0.0894,0.0059,-0.0059,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.10003,6.8E-4,0.1106,0.0142,-0.0142,Lustig-Yaeger et al. 2023,0.03326,0.00207,-0.00221,Calculated,0.0903,0.0058,-0.0058,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.10071,6.8E-4,0.1085,0.0147,-0.0147,Lustig-Yaeger et al. 2023,0.03294,0.00216,-0.00231,Calculated,0.0894,0.0061,-0.0061,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.10138,6.8E-4,0.1341,0.0137,-0.0137,Lustig-Yaeger et al. 2023,0.03662,0.00183,-0.00192,Calculated,0.0994,0.0051,-0.0051,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.10206,6.8E-4,0.1181,0.0142,-0.0142,Lustig-Yaeger et al. 2023,0.03437,0.00201,-0.00213,Calculated,0.0933,0.0056,-0.0056,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.10273,6.8E-4,0.0944,0.0141,-0.0141,Lustig-Yaeger et al. 2023,0.03072,0.00221,-0.00239,Calculated,0.0834,0.0062,-0.0062,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
