141 1681.312127 1.832E-84 1.102E+02.00820.05232329.54410.50-.023000              5              4                    P 33      462623 5 3 2 1 2 2   260.0  268.0
141 1681.664356 3.727E-86 1.305E+02.00820.05233152.53940.50-.023000              6              5                    P 31      362623 5 3 2 1 2 2   244.0  252.0
141 1689.642888 4.652E-77 3.807E+01.00820.05228641.38110.50-.023000              1              0                    P 40      462623 5 3 2 1 2 2   316.0  324.0
141 1694.462348 4.524E-91 1.030E+02.00820.05235375.89050.50-.023000              9              8                    P 24      252623 5 3 2 1 2 2   188.0  196.0
141 1706.012269 1.243E-96 2.988E+01.00820.05337653.31910.50-.023000             12             11                    P 15      252623 5 3 2 1 2 2   116.0  124.0
141 1708.372710 5.180E-78 7.089E+01.00820.05229205.67590.50-.023000              2              1                    P 38      462623 5 3 2 1 2 2   300.0  308.0
141 1712.971128 1.884E-92 8.262E+01.00820.05235951.80290.50-.023000             10              9                    P 21      252623 5 3 2 1 2 2   164.0  172.0
141 1713.428040 5.270E-99 9.154E+00.00870.06438465.78150.50-.023000             13             12                    P 11      252623 5 3 2 1 2 2    84.0   92.0
141 1715.513437 1.091E-88 1.234E+02.00820.05234296.16620.50-.023000              8              7                    P 26      252623 5 3 2 1 2 2   204.0  212.0
141 1717.565324 2.657E-94 5.638E+01.00820.05236716.20210.50-.023000             11             10                    P 18      252623 5 3 2 1 2 2   140.0  148.0
141 1722.741081 2.745E-79 9.661E+01.00820.05229858.96100.50-.023000              3              2                    P 36      462623 5 3 2 1 2 2   284.0  292.0
141 1729.138042 1.862E-86 1.362E+02.00820.05233271.32990.50-.023000              7              6                    P 28      262623 5 3 2 1 2 2   220.0  228.0
141 1732.416538 8.320E-81 1.135E+02.00820.05230597.12750.50-.023000              4              3                    P 34      462623 5 3 2 1 2 2   268.0  276.0
141 1736.097632 2.196E-84 1.403E+02.00820.05232308.89520.50-.023000              6              5                    P 30      362623 5 3 2 1 2 2   236.0  244.0
141 1737.016616 1.541E-82 1.200E+02.00820.05231415.52270.50-.023000              5              4                    P 32      462623 5 3 2 1 2 2   252.0  260.0
