171 1611.100820 1.277E-43 1.342E-02.01900.02010805.34050.50-.002800              5              4                    P 20      352623 4 3 2 1 0 1   468.0  492.0
171 1613.638247 9.817E-45 8.760E-02.02050.03911657.61270.50-.002800              6              5                    P 15      424623 4 3 2 1 0 1   348.0  372.0
171 1613.793259 5.950E-40 1.676E-02.01900.011 9183.47180.50-.002800              3              2                    P 28      452623 4 3 2 1 0 1   660.0  684.0
171 1616.230115 7.556E-43 8.919E-04.01900.013 9919.01240.50-.002800              4              3                    P 24      452623 4 3 2 1 0 1   564.0  588.0
171 1617.321425 1.710E-46 3.028E-01.03490.06912635.14070.50-.003700              7              6                    P  9      224624 4 3 2 1 0 1   204.0  228.0
171 1625.383183 1.194E-37 3.044E-02.01900.011 8233.95710.50-.002800              2              1                    P 31      452623 4 3 2 1 0 1   732.0  756.0
171 1628.563301 4.456E-43 1.708E-02.01900.02410582.72970.50-.002800              5              4                    P 19      352623 4 3 2 1 0 1   444.0  468.0
171 1629.453910 2.258E-44 9.960E-02.02190.04411493.92820.50-.002800              6              5                    P 14      424623 4 3 2 1 0 1   324.0  348.0
171 1630.956229 2.595E-46 3.321E-01.03870.07212539.18740.50-.004200              7              6                    P  8      224624 4 3 2 1 0 1   180.0  204.0
171 1632.463799 8.396E-36 2.796E-02.01900.011 7358.96600.50-.002800              1              0                    P 34      462623 4 3 2 1 0 1   804.0  828.0
171 1633.624101 2.296E-39 1.433E-02.01900.011 8860.75530.50-.002800              3              2                    P 27      452623 4 3 2 1 0 1   636.0  660.0
171 1634.924420 9.274E-43 3.115E-04.01900.014 9646.77920.50-.002800              4              3                    P 23      452623 4 3 2 1 0 1   540.0  564.0
171 1644.243556 3.680E-46 3.646E-01.04280.07612453.77800.50-.004300              7              6                    P  7      224624 4 3 2 1 0 1   156.0  180.0
171 1644.959225 4.894E-44 1.129E-01.02370.04811340.81250.50-.002800              6              5                    P 13      424623 4 3 2 1 0 1   300.0  324.0
