221 2090.392510 2.752E-35 9.897E-09.02730.027 3711.57730.200.000000              2              1                    O 26q     344440 4 3 2 1 1 0   294.0  318.0
221 2091.022830 1.150E-31 4.758E-09.02730.027 1726.60190.200.000000              1              0                    O 29q     344440 4 3 2 1 1 0   165.0  177.0
221 2097.559855 3.454E-39 1.587E-08.02730.027 5618.81770.200.000000              3              2                    O 22q     344440 4 3 2 1 1 0   246.0  270.0
221 2099.032157 2.216E-35 1.020E-08.02730.027 3609.42590.200.000000              2              1                    O 25q     344440 4 3 2 1 1 0   141.0  153.0
221 2099.812117 3.958E-31 4.903E-09.02730.027 1611.76520.200.000000              1              0                    O 28q     344440 4 3 2 1 1 0   318.0  342.0
221 2106.017530 2.548E-39 1.636E-08.02730.027 5533.05200.200.000000              3              2                    O 21q     344440 4 3 2 1 1 0   117.0  129.0
221 2107.643632 6.990E-35 1.050E-08.02730.027 3511.17410.200.000000              2              1                    O 24q     344440 4 3 2 1 1 0   270.0  294.0
221 2108.574134 3.337E-31 5.053E-09.02730.027 1500.85180.200.000000              1              0                    O 27q     344440 4 3 2 1 1 0   153.0  165.0
221 2114.445859 7.357E-39 1.685E-08.02740.027 5451.16390.200.000000              3              2                    O 20q     344440 4 3 2 1 1 0   222.0  246.0
221 2116.226667 5.399E-35 1.082E-08.02730.027 3416.82530.200.000000              2              1                    O 23q     344440 4 3 2 1 1 0   129.0  141.0
221 2117.308615 1.102E-30 5.206E-09.02730.027 1393.86550.200.000000              1              0                    O 26q     344440 4 3 2 1 1 0   294.0  318.0
221 2122.844571 5.198E-39 1.737E-08.02910.029 5373.15640.200.000000              3              2                    O 19q     344440 4 3 2 1 1 0   105.0  117.0
221 2124.780993 1.633E-34 1.115E-08.02730.027 3326.38290.200.000000              2              1                    O 22q     344440 4 3 2 1 1 0   246.0  270.0
221 2126.015293 8.914E-31 5.364E-09.02730.027 1290.81000.200.000000              1              0                    O 25q     344440 4 3 2 1 1 0   141.0  153.0
221 2131.213395 1.437E-38 1.790E-08.03110.031 5299.03220.270.000000              3              2                    O 18q     344440 4 3 2 1 1 0   198.0  222.0
221 2133.306341 1.209E-34 1.149E-08.02730.027 3239.85010.200.000000              2              1                    O 21q     344440 4 3 2 1 1 0   117.0  129.0
221 2134.693899 2.824E-30 5.526E-09.02730.027 1191.68900.200.000000              1              0                    O 24q     344440 4 3 2 1 1 0   270.0  294.0
221 2139.552061 9.717E-39 1.846E-08.03320.033 5228.79400.340.000000              3              2                    O 17q     344440 4 3 2 1 1 0    93.0  105.0
221 2141.802441 3.505E-34 1.184E-08.02740.027 3157.22980.200.000000              2              1                    O 20q     344440 4 3 2 1 1 0   222.0  246.0
221 2143.344166 2.190E-30 5.693E-09.02730.027 1096.50590.200.000000              1              0                    O 23q     344440 4 3 2 1 1 0   129.0  141.0
221 2147.860298 2.569E-38 1.904E-08.03540.035 5162.44410.410.000000              3              2                    O 16q     344440 4 3 2 1 1 0   174.0  198.0
221 2150.269023 2.485E-34 1.220E-08.02910.029 3078.52490.200.000000              2              1                    O 19q     344440 4 3 2 1 1 0   105.0  117.0
221 2151.965824 6.652E-30 5.867E-09.02730.027 1005.26390.200.000000              1              0                    O 22q     344440 4 3 2 1 1 0   246.0  270.0
221 2156.137833 1.659E-38 1.965E-08.03750.037 5099.98500.470.000000              3              2                    O 15q     344440 4 3 2 1 1 0    81.0   93.0
221 2158.705818 6.894E-34 1.258E-08.03110.031 3003.73830.270.000000              2              1                    O 18q     344440 4 3 2 1 1 0   198.0  222.0
221 2160.558605 4.944E-30 6.046E-09.02730.027  917.96630.200.000000              1              0                    O 21q     344440 4 3 2 1 1 0   117.0  129.0
221 2164.384394 4.183E-38 2.028E-08.03960.040 5041.41900.520.000000              3              2                    O 14q     344440 4 3 2 1 1 0   150.0  174.0
221 2167.112553 4.675E-34 1.297E-08.03320.033 2932.87250.340.000000              2              1                    O 17q     344440 4 3 2 1 1 0    93.0  105.0
221 2169.122240 1.438E-29 6.230E-09.02740.027  834.61610.200.000000              1              0                    O 20q     344440 4 3 2 1 1 0   222.0  246.0
221 2172.599710 2.574E-38 2.096E-08.04150.042 4986.74790.570.000000              3              2                    O 13q     344440 4 3 2 1 1 0    69.0   81.0
221 2175.488959 1.239E-33 1.337E-08.03540.035 2865.93000.410.000000              2              1                    O 16q     344440 4 3 2 1 1 0   174.0  198.0
221 2177.656457 1.023E-29 6.420E-09.02910.029  755.21600.200.000000              1              0                    O 19q     344440 4 3 2 1 1 0   105.0  117.0
