 41 1595.965490 2.395E-25 1.428E-02.07010.085 1696.84300.81-.001969        0 1 1 1        0 2 0 0                    P 35e     465544 6 5 5 3 3 3   621.0  639.0
 41 1596.389490 6.532E-25 1.773E-02.07290.091 1472.58370.75-.001985        0 1 1 1        0 2 2 0                    P 26f     465544 6 5 5 3 3 3   459.0  477.0
 41 1596.916500 6.290E-25 1.599E-02.07330.092 1450.77470.74-.001984        0 1 1 1        0 2 2 0                    P 25e     465544 6 5 5 3 3 3   441.0  459.0
 41 1596.979140 2.214E-24 1.300E-02.06920.082 1242.25140.79-.001953        0 0 0 1        0 1 1 0                    P 39e     465544 6 5 5 3 3 3   693.0  711.0
 41 1597.073650 2.689E-25 1.434E-02.07040.085 1667.49030.81-.001972        0 1 1 1        0 2 0 0                    P 34e     465544 6 5 5 3 3 3   603.0  621.0
 41 1597.407060 7.096E-25 1.805E-02.07330.092 1450.75000.74-.001984        0 1 1 1        0 2 2 0                    P 25f     465544 6 5 5 3 3 3   441.0  459.0
 41 1597.967930 6.895E-25 1.653E-02.07370.093 1429.77610.74-.001982        0 1 1 1        0 2 2 0                    P 24e     465544 6 5 5 3 3 3   423.0  441.0
 41 1598.088690 2.576E-24 1.327E-02.06940.083 1209.59780.80-.001957        0 0 0 1        0 1 1 0                    P 38e     465544 6 5 5 3 3 3   675.0  693.0
 41 1598.174560 3.004E-25 1.440E-02.07070.086 1638.97410.81-.001975        0 1 1 1        0 2 0 0                    P 33e     465544 6 5 5 3 3 3   585.0  603.0
 41 1598.417600 7.701E-25 1.847E-02.07370.093 1429.75500.74-.001982        0 1 1 1        0 2 2 0                    P 24f     465544 6 5 5 3 3 3   423.0  441.0
 41 1599.010360 7.500E-25 1.704E-02.07410.094 1409.61690.73-.001978        0 1 1 1        0 2 2 0                    P 23e     465544 6 5 5 3 3 3   405.0  423.0
 41 1599.191220 2.980E-24 1.353E-02.06960.084 1177.77950.80-.001961        0 0 0 1        0 1 1 0                    P 37e     465544 6 5 5 3 3 3   657.0  675.0
 41 1599.268150 3.343E-25 1.447E-02.07100.087 1611.29440.80-.001978        0 1 1 1        0 2 0 0                    P 32e     465544 6 5 5 3 3 3   567.0  585.0
 41 1599.421100 8.306E-25 1.888E-02.07410.094 1409.59900.73-.001978        0 1 1 1        0 2 2 0                    P 23f     465544 6 5 5 3 3 3   405.0  423.0
