501 1511.895300 5.363E-45 1.170E-08.02280.023 8115.06270.710.000000       a      2       X      6                R 46Q 47      442210 1 1 1 1 1 0    95.0   95.0
501 1512.566400 1.019E-41 4.380E-09.02940.032 6293.77240.710.000000       a      1       X      5                S 32R 33      442210 1 1 1 1 1 0    69.0   67.0
501 1513.051700 1.319E-43 6.062E-09.03220.035 7236.13180.710.000000       a      2       X      6                S 29R 30      442210 1 1 1 1 1 0    63.0   61.0
501 1514.153700 2.428E-45 1.330E-08.02230.022 8316.43090.710.000000       a      2       X      6                R 49R 49      442210 1 1 1 1 1 0   101.0   99.0
501 1514.445800 2.801E-42 3.419E-09.02160.020 6609.51540.710.000000       a      0       X      4                R 55Q 56      442210 1 1 1 1 1 0   113.0  113.0
501 1514.597500 8.314E-44 9.540E-09.02180.021 7536.71250.710.000000       a      1       X      5                R 53R 53      442210 1 1 1 1 1 0   109.0  107.0
501 1514.611000 4.036E-45 1.180E-08.02260.023 8178.85980.710.000000       a      2       X      6                R 47Q 48      442210 1 1 1 1 1 0    97.0   97.0
501 1514.678300 1.471E-42 3.801E-09.02140.020 6770.88010.710.000000       a      0       X      4                R 57R 57      442210 1 1 1 1 1 0   117.0  115.0
501 1514.711600 1.477E-43 8.512E-09.02200.021 7387.31610.710.000000       a      1       X      5                R 51Q 52      442210 1 1 1 1 1 0   105.0  105.0
501 1515.327900 3.472E-40 1.770E-09.02660.029 5403.29850.710.000000       a      0       X      4                S 36R 37      442210 1 1 1 1 1 0    77.0   75.0
501 1516.328100 8.447E-42 4.420E-09.02860.032 6339.11090.710.000000       a      1       X      5                S 33R 34      442210 1 1 1 1 1 0    71.0   69.0
501 1516.682400 1.121E-43 6.121E-09.03120.034 7277.03570.710.000000       a      2       X      6                S 30R 31      442210 1 1 1 1 1 0    65.0   63.0
501 1516.945100 1.788E-45 1.340E-08.02210.022 8384.23790.710.000000       a      2       X      6                R 50R 50      442210 1 1 1 1 1 0   103.0  101.0
501 1517.353300 3.016E-45 1.190E-08.02250.022 8243.99350.710.000000       a      2       X      6                R 48Q 49      442210 1 1 1 1 1 0    99.0   99.0
501 1517.508400 1.964E-42 3.440E-09.02150.020 6686.56420.710.000000       a      0       X      4                R 56Q 57      442210 1 1 1 1 1 0   115.0  115.0
501 1517.547800 5.924E-44 9.590E-09.02170.020 7610.45420.710.000000       a      1       X      5                R 54R 54      442210 1 1 1 1 1 0   111.0  109.0
501 1517.612400 1.069E-43 8.572E-09.02190.021 7458.37240.710.000000       a      1       X      5                R 52Q 53      442210 1 1 1 1 1 0   107.0  107.0
501 1517.790800 1.016E-42 3.819E-09.02130.019 6850.62560.710.000000       a      0       X      4                R 58R 58      442210 1 1 1 1 1 0   119.0  117.0
501 1519.251400 2.779E-40 1.780E-09.02600.028 5454.50450.710.000000       a      0       X      4                S 37R 38      442210 1 1 1 1 1 0    79.0   77.0
501 1519.762700 1.307E-45 1.350E-08.02200.021 8453.37760.710.000000       a      2       X      6                R 51R 51      442210 1 1 1 1 1 0   105.0  103.0
501 1520.117500 6.934E-42 4.450E-09.02790.031 6385.81240.710.000000       a      1       X      5                S 34R 35      442210 1 1 1 1 1 0    73.0   71.0
501 1520.122200 2.219E-45 1.190E-08.02230.022 8310.46240.710.000000       a      2       X      6                R 49Q 50      442210 1 1 1 1 1 0   101.0  101.0
501 1520.340500 9.439E-44 6.170E-09.03030.033 7319.29390.710.000000       a      2       X      6                S 31R 32      442210 1 1 1 1 1 0    67.0   65.0
501 1520.524900 4.192E-44 9.639E-09.02160.020 7685.53430.710.000000       a      1       X      5                R 55R 55      442210 1 1 1 1 1 0   113.0  111.0
501 1520.540200 7.681E-44 8.630E-09.02180.021 7530.76980.710.000000       a      1       X      5                R 53Q 54      442210 1 1 1 1 1 0   109.0  109.0
501 1520.598600 1.371E-42 3.469E-09.02140.020 6764.95970.710.000000       a      0       X      4                R 57Q 58      442210 1 1 1 1 1 0   117.0  117.0
501 1520.930600 6.975E-43 3.840E-09.02130.019 6931.71470.710.000000       a      0       X      4                R 59R 59      442210 1 1 1 1 1 0   121.0  119.0
501 1522.606500 9.422E-46 1.350E-08.02190.021 8523.84860.710.000000       a      2       X      6                R 52R 52      442210 1 1 1 1 1 0   107.0  105.0
501 1522.917600 1.635E-45 1.200E-08.02210.022 8378.26530.710.000000       a      2       X      6                R 50Q 51      442210 1 1 1 1 1 0   103.0  103.0
501 1523.202900 2.220E-40 1.800E-09.02550.028 5507.08120.710.000000       a      0       X      4                S 38R 39      442210 1 1 1 1 1 0    81.0   79.0
501 1523.495100 5.483E-44 8.690E-09.02170.020 7604.50690.710.000000       a      1       X      5                R 54Q 55      442210 1 1 1 1 1 0   111.0  111.0
501 1523.528600 2.946E-44 9.689E-09.02150.020 7761.95120.710.000000       a      1       X      5                R 56R 56      442210 1 1 1 1 1 0   115.0  113.0
501 1523.716200 9.482E-43 3.490E-09.02130.019 6844.70020.710.000000       a      0       X      4                R 58Q 59      442210 1 1 1 1 1 0   119.0  119.0
501 1523.934600 5.662E-42 4.490E-09.02720.030 6433.87630.710.000000       a      1       X      5                S 35R 36      442210 1 1 1 1 1 0    75.0   73.0
501 1524.025800 7.889E-44 6.220E-09.02940.032 7362.90560.710.000000       a      2       X      6                S 32R 33      442210 1 1 1 1 1 0    69.0   67.0
501 1524.097500 4.754E-43 3.860E-09.02120.019 7014.14580.710.000000       a      0       X      4                R 60R 60      442210 1 1 1 1 1 0   123.0  121.0
501 1525.476500 6.795E-46 1.360E-08.02180.021 8595.64960.710.000000       a      2       X      6                R 53R 53      442210 1 1 1 1 1 0   109.0  107.0
501 1525.739500 1.197E-45 1.210E-08.02200.021 8447.40080.710.000000       a      2       X      6                R 51Q 52      442210 1 1 1 1 1 0   105.0  105.0
501 1526.476900 3.887E-44 8.751E-09.02160.020 7679.58220.710.000000       a      1       X      5                R 55Q 56      442210 1 1 1 1 1 0   113.0  113.0
501 1526.559000 2.057E-44 9.742E-09.02140.020 7839.70340.710.000000       a      1       X      5                R 57R 57      442210 1 1 1 1 1 0   117.0  115.0
501 1526.861200 6.530E-43 3.520E-09.02130.019 6925.78410.710.000000       a      0       X      4                R 59Q 60      442210 1 1 1 1 1 0   121.0  121.0
501 1527.182300 1.760E-40 1.820E-09.02500.027 5561.02770.710.000000       a      0       X      4                S 39R 40      442210 1 1 1 1 1 0    83.0   81.0
501 1527.291500 3.227E-43 3.890E-09.02110.019 7097.91720.710.000000       a      0       X      4                R 61R 61      442210 1 1 1 1 1 0   125.0  123.0
501 1527.738100 6.555E-44 6.280E-09.02860.032 7407.86990.710.000000       a      2       X      6                S 33R 34      442210 1 1 1 1 1 0    71.0   69.0
501 1527.779100 4.589E-42 4.530E-09.02660.029 6483.30140.710.000000       a      1       X      5                S 36R 37      442210 1 1 1 1 1 0    77.0   75.0
501 1528.372400 4.867E-46 1.370E-08.02170.020 8668.77910.710.000000       a      2       X      6                R 54R 54      442210 1 1 1 1 1 0   111.0  109.0
501 1528.587600 8.697E-46 1.220E-08.02190.021 8517.86750.710.000000       a      2       X      6                R 52Q 53      442210 1 1 1 1 1 0   107.0  107.0
501 1529.485600 2.739E-44 8.819E-09.02150.020 7755.99430.710.000000       a      1       X      5                R 56Q 57      442210 1 1 1 1 1 0   115.0  115.0
501 1529.616000 1.426E-44 9.791E-09.02130.019 7918.78940.710.000000       a      1       X      5                R 58R 58      442210 1 1 1 1 1 0   119.0  117.0
501 1530.033400 4.453E-43 3.540E-09.02120.019 7008.20990.710.000000       a      0       X      4                R 60Q 61      442210 1 1 1 1 1 0   123.0  123.0
501 1530.512400 2.170E-43 3.910E-09.02110.019 7183.02720.710.000000       a      0       X      4                R 62R 62      442210 1 1 1 1 1 0   127.0  125.0
501 1531.189500 1.378E-40 1.830E-09.02460.026 5616.34280.710.000000       a      0       X      4                S 40R 41      442210 1 1 1 1 1 0    85.0   83.0
501 1531.294200 3.437E-46 1.370E-08.02160.020 8743.23570.710.000000       a      2       X      6                R 55R 55      442210 1 1 1 1 1 0   113.0  111.0
501 1531.462000 6.277E-46 1.230E-08.02180.021 8589.66410.710.000000       a      2       X      6                R 53Q 54      442210 1 1 1 1 1 0   109.0  109.0
501 1531.477400 5.397E-44 6.329E-09.02790.031 7454.18600.710.000000       a      2       X      6                S 34R 35      442210 1 1 1 1 1 0    73.0   71.0
501 1531.651000 3.692E-42 4.570E-09.02600.028 6534.08690.710.000000       a      1       X      5                S 37R 38      442210 1 1 1 1 1 0    79.0   77.0
501 1532.520900 1.915E-44 8.879E-09.02140.020 7833.74150.710.000000       a      1       X      5                R 57Q 58      442210 1 1 1 1 1 0   117.0  117.0
501 1532.699400 9.827E-45 9.850E-09.02130.019 7999.20750.710.000000       a      1       X      5                R 59R 59      442210 1 1 1 1 1 0   121.0  119.0
501 1533.232700 3.025E-43 3.570E-09.02110.019 7091.97590.710.000000       a      0       X      4                R 61Q 62      442210 1 1 1 1 1 0   125.0  125.0
501 1533.760200 1.449E-43 3.930E-09.02100.019 7269.47420.710.000000       a      0       X      4                R 63R 63      442210 1 1 1 1 1 0   129.0  127.0
501 1534.241900 2.428E-46 1.380E-08.02150.020 8819.01770.710.000000       a      2       X      6                R 56R 56      442210 1 1 1 1 1 0   115.0  113.0
501 1534.362600 4.500E-46 1.240E-08.02170.020 8662.78900.710.000000       a      2       X      6                R 54Q 55      442210 1 1 1 1 1 0   111.0  111.0
501 1535.224400 1.077E-40 1.850E-09.02420.026 5673.02560.710.000000       a      0       X      4                S 41R 42      442210 1 1 1 1 1 0    87.0   85.0
501 1535.243600 4.418E-44 6.389E-09.02720.030 7501.85300.710.000000       a      2       X      6                S 35R 36      442210 1 1 1 1 1 0    75.0   73.0
501 1535.550100 2.949E-42 4.611E-09.02550.028 6586.23170.710.000000       a      1       X      5                S 38R 39      442210 1 1 1 1 1 0    81.0   79.0
501 1535.583000 1.330E-44 8.940E-09.02130.019 7912.82240.710.000000       a      1       X      5                R 58Q 59      442210 1 1 1 1 1 0   119.0  119.0
501 1535.809100 6.721E-45 9.900E-09.02120.019 8080.95620.710.000000       a      1       X      5                R 60R 60      442210 1 1 1 1 1 0   123.0  121.0
501 1536.459100 2.035E-43 3.590E-09.02110.019 7177.08050.710.000000       a      0       X      4                R 62Q 63      442210 1 1 1 1 1 0   127.0  127.0
501 1537.034800 9.612E-44 3.950E-09.02100.019 7357.25630.710.000000       a      0       X      4                R 64R 64      442210 1 1 1 1 1 0   131.0  129.0
501 1537.215300 1.704E-46 1.390E-08.02140.020 8896.12380.710.000000       a      2       X      6                R 57R 57      442210 1 1 1 1 1 0   117.0  115.0
501 1537.289100 3.178E-46 1.240E-08.02160.020 8737.24080.710.000000       a      2       X      6                R 55Q 56      442210 1 1 1 1 1 0   113.0  113.0
501 1538.671500 9.172E-45 9.000E-09.02130.019 7993.23530.710.000000       a      1       X      5                R 59Q 60      442210 1 1 1 1 1 0   121.0  121.0
501 1538.945100 4.565E-45 9.949E-09.02110.019 8164.03370.710.000000       a      1       X      5                R 61R 61      442210 1 1 1 1 1 0   125.0  123.0
501 1539.036400 3.585E-44 6.440E-09.02660.029 7550.86990.710.000000       a      2       X      6                S 36R 37      442210 1 1 1 1 1 0    77.0   75.0
501 1539.286900 8.308E-41 1.860E-09.02390.025 5731.07490.710.000000       a      0       X      4                S 42R 43      442210 1 1 1 1 1 0    89.0   87.0
501 1539.476400 2.338E-42 4.650E-09.02500.027 6639.73500.710.000000       a      1       X      5                S 39R 40      442210 1 1 1 1 1 0    83.0   81.0
501 1539.712500 1.363E-43 3.619E-09.02100.019 7263.52190.710.000000       a      0       X      4                R 63Q 64      442210 1 1 1 1 1 0   129.0  129.0
501 1540.214300 1.179E-46 1.390E-08.02130.019 8974.55230.710.000000       a      2       X      6                R 58R 58      442210 1 1 1 1 1 0   119.0  117.0
501 1540.241700 2.247E-46 1.250E-08.02150.020 8813.01800.710.000000       a      2       X      6                R 56Q 57      442210 1 1 1 1 1 0   115.0  115.0
501 1540.336100 6.349E-44 3.980E-09.02100.018 7446.37200.710.000000       a      0       X      4                R 65R 65      442210 1 1 1 1 1 0   133.0  131.0
501 1541.786500 6.290E-45 9.070E-09.02120.019 8074.97870.710.000000       a      1       X      5                R 60Q 61      442210 1 1 1 1 1 0   123.0  123.0
501 1542.107300 3.080E-45 9.999E-09.02110.019 8248.43860.710.000000       a      1       X      5                R 62R 62      442210 1 1 1 1 1 0   127.0  125.0
501 1542.855900 2.887E-44 6.489E-09.02600.028 7601.23590.710.000000       a      2       X      6                S 37R 38      442210 1 1 1 1 1 0    79.0   77.0
501 1542.992700 9.073E-44 3.650E-09.02100.019 7351.29850.710.000000       a      0       X      4                R 64Q 65      442210 1 1 1 1 1 0   131.0  131.0
501 1543.220000 1.578E-46 1.260E-08.02140.020 8890.11910.710.000000       a      2       X      6                R 57Q 58      442210 1 1 1 1 1 0   117.0  117.0
501 1543.238900 8.163E-47 1.400E-08.02130.019 9054.30170.710.000000       a      2       X      6                R 59R 59      442210 1 1 1 1 1 0   121.0  119.0
501 1543.376800 6.398E-41 1.880E-09.02360.025 5790.48960.710.000000       a      0       X      4                S 43R 44      442210 1 1 1 1 1 0    91.0   89.0
501 1543.429700 1.840E-42 4.690E-09.02460.026 6694.59550.710.000000       a      1       X      5                S 40R 41      442210 1 1 1 1 1 0    85.0   83.0
501 1543.664000 4.155E-44 4.000E-09.02090.018 7536.81940.710.000000       a      0       X      4                R 66R 66      442210 1 1 1 1 1 0   135.0  133.0
501 1544.927900 4.279E-45 9.129E-09.02110.019 8158.05090.710.000000       a      1       X      5                R 61Q 62      442210 1 1 1 1 1 0   125.0  125.0
501 1545.295600 2.075E-45 1.010E-08.02100.019 8334.16890.710.000000       a      1       X      5                R 63R 63      442210 1 1 1 1 1 0   129.0  127.0
501 1546.224100 1.101E-46 1.270E-08.02130.019 8968.54250.710.000000       a      2       X      6                R 58Q 59      442210 1 1 1 1 1 0   119.0  119.0
501 1546.288900 5.613E-47 1.410E-08.02120.019 9135.37040.710.000000       a      2       X      6                R 60R 60      442210 1 1 1 1 1 0   123.0  121.0
501 1546.299700 5.980E-44 3.670E-09.02100.018 7440.40840.710.000000       a      0       X      4                R 65Q 66      442210 1 1 1 1 1 0   133.0  133.0
501 1546.701800 2.312E-44 6.550E-09.02550.028 7652.94990.710.000000       a      2       X      6                S 38R 39      442210 1 1 1 1 1 0    81.0   79.0
501 1547.018300 2.707E-44 4.029E-09.02090.018 7628.59660.710.000000       a      0       X      4                R 67R 67      442210 1 1 1 1 1 0   137.0  135.0
501 1547.410000 1.438E-42 4.730E-09.02420.026 6750.81230.710.000000       a      1       X      5                S 41R 42      442210 1 1 1 1 1 0    87.0   85.0
501 1547.494000 4.892E-41 1.900E-09.02330.024 5851.26850.710.000000       a      0       X      4                S 44R 45      442210 1 1 1 1 1 0    93.0   91.0
501 1548.095600 2.895E-45 9.200E-09.02110.019 8242.45030.710.000000       a      1       X      5                R 62Q 63      442210 1 1 1 1 1 0   127.0  127.0
501 1548.509800 1.374E-45 1.010E-08.02100.019 8421.22310.710.000000       a      1       X      5                R 64R 64      442210 1 1 1 1 1 0   131.0  129.0
501 1549.253900 7.625E-47 1.280E-08.02130.019 9048.28680.710.000000       a      2       X      6                R 59Q 60      442210 1 1 1 1 1 0   121.0  121.0
501 1549.364200 3.807E-47 1.410E-08.02110.019 9217.75660.710.000000       a      2       X      6                R 61R 61      442210 1 1 1 1 1 0   125.0  123.0
501 1549.633400 3.926E-44 3.700E-09.02090.018 7530.85000.710.000000       a      0       X      4                R 66Q 67      442210 1 1 1 1 1 0   135.0  135.0
501 1550.399000 1.748E-44 4.050E-09.02090.018 7721.70190.710.000000       a      0       X      4                R 68R 68      442210 1 1 1 1 1 0   139.0  137.0
501 1550.574100 1.835E-44 6.599E-09.02500.027 7706.01090.710.000000       a      2       X      6                S 39R 40      442210 1 1 1 1 1 0    83.0   81.0
501 1551.289400 1.943E-45 9.259E-09.02100.019 8328.17510.710.000000       a      1       X      5                R 63Q 64      442210 1 1 1 1 1 0   129.0  129.0
501 1551.417100 1.115E-42 4.768E-09.02390.025 6808.38420.710.000000       a      1       X      5                S 42R 43      442210 1 1 1 1 1 0    89.0   87.0
