461 2395.473706 1.045E-26 1.240E-01.06980.059 2875.73970.750.000000              2              0                    P 59      532210 1 1 1 1 1 0   117.0  119.0
461 2398.429213 1.628E-26 1.240E-01.06980.059 2780.42070.750.000000              2              0                    P 58      532210 1 1 1 1 1 0   115.0  117.0
461 2401.362763 2.516E-26 1.240E-01.06980.059 2686.68110.750.000000              2              0                    P 57      532210 1 1 1 1 1 0   113.0  115.0
461 2404.274330 3.859E-26 1.240E-01.06980.059 2594.52270.750.000000              2              0                    P 56      532210 1 1 1 1 1 0   111.0  113.0
461 2407.163886 5.872E-26 1.240E-01.06980.059 2503.94730.750.000000              2              0                    P 55      532210 1 1 1 1 1 0   109.0  111.0
461 2410.031404 8.863E-26 1.240E-01.06980.059 2414.95680.750.000000              2              0                    P 54      532210 1 1 1 1 1 0   107.0  109.0
461 2412.876856 1.327E-25 1.240E-01.06980.059 2327.55280.750.000000              2              0                    P 53      532210 1 1 1 1 1 0   105.0  107.0
461 2415.700216 1.971E-25 1.240E-01.06980.059 2241.73720.750.000000              2              0                    P 52      532210 1 1 1 1 1 0   103.0  105.0
461 2418.501455 2.927E-25 1.250E-01.06980.059 2157.51160.750.000000              2              0                    P 51      532210 1 1 1 1 1 0   101.0  103.0
461 2421.280546 4.277E-25 1.250E-01.06980.060 2074.87770.750.000000              2              0                    P 50      532210 1 1 1 1 1 0    99.0  101.0
461 2424.037460 6.200E-25 1.250E-01.06980.061 1993.83710.750.000000              2              0                    P 49      532210 1 1 1 1 1 0    97.0   99.0
461 2426.772171 8.914E-25 1.250E-01.06980.061 1914.39140.750.000000              2              0                    P 48      532210 1 1 1 1 1 0    95.0   97.0
461 2429.484649 1.281E-24 1.260E-01.06980.062 1836.54220.750.000000              2              0                    P 47      532210 1 1 1 1 1 0    93.0   95.0
461 2432.174867 1.812E-24 1.260E-01.07000.062 1760.29100.750.000000              2              0                    P 46      532210 1 1 1 1 1 0    91.0   93.0
461 2434.842797 2.542E-24 1.260E-01.07030.063 1685.63930.750.000000              2              0                    P 45      532210 1 1 1 1 1 0    89.0   91.0
