441 2035.156988 1.205E-25 4.949E-01.10000.100 2310.12470.750.000000  0010000 0 0 0  0000000 0 0 0                    P123e     432220 3 3 1 1 1 0  1470.0 1482.0
441 2035.167387 1.083E-25 4.950E-01.10000.100 2321.84880.750.000000  0010001 0 0 1  0000001 0 0 1                    P117f     332220 3 3 1 1 1 0  1398.0 1410.0
441 2035.243878 1.098E-25 4.950E-01.10000.100 2318.93620.750.000000  0010001 0 0 1  0000001 0 0 1                    P117e     332220 3 3 1 1 1 0  1398.0 1410.0
441 2035.569939 1.432E-25 4.952E-01.10000.100 2272.93150.750.000000  0010000 0 0 0  0000000 0 0 0                    P122e     432220 3 3 1 1 1 0  1458.0 1470.0
441 2035.575551 1.276E-25 4.953E-01.10000.100 2286.32580.750.000000  0010001 0 0 1  0000001 0 0 1                    P116f     332220 3 3 1 1 1 0  1386.0 1398.0
441 2035.651330 1.294E-25 4.953E-01.10000.100 2283.46100.750.000000  0010001 0 0 1  0000001 0 0 1                    P116e     332220 3 3 1 1 1 0  1386.0 1398.0
441 2035.982032 1.700E-25 4.955E-01.10000.100 2236.03850.750.000000  0010000 0 0 0  0000000 0 0 0                    P121e     432220 3 3 1 1 1 0  1446.0 1458.0
441 2035.982855 1.502E-25 4.956E-01.10000.100 2251.10440.750.000000  0010001 0 0 1  0000001 0 0 1                    P115f     332220 3 3 1 1 1 0  1374.0 1386.0
441 2036.057921 1.522E-25 4.956E-01.10000.100 2248.28700.750.000000  0010001 0 0 1  0000001 0 0 1                    P115e     332220 3 3 1 1 1 0  1374.0 1386.0
441 2036.389301 1.764E-25 4.959E-01.10000.100 2216.18460.750.000000  0010001 0 0 1  0000001 0 0 1                    P114f     332220 3 3 1 1 1 0  1362.0 1374.0
441 2036.393265 2.014E-25 4.958E-01.10000.100 2199.44580.750.000000  0010000 0 0 0  0000000 0 0 0                    P120e     432220 3 3 1 1 1 0  1434.0 1446.0
441 2036.463650 1.788E-25 4.960E-01.10000.100 2213.41430.750.000000  0010001 0 0 1  0000001 0 0 1                    P114e     332220 3 3 1 1 1 0  1362.0 1374.0
441 2036.794886 2.069E-25 4.962E-01.10000.100 2181.56650.750.000000  0010001 0 0 1  0000001 0 0 1                    P113f     332220 3 3 1 1 1 0  1350.0 1362.0
441 2036.803637 2.383E-25 4.961E-01.10000.100 2163.15340.750.000000  0010000 0 0 0  0000000 0 0 0                    P119e     432220 3 3 1 1 1 0  1422.0 1434.0
441 2036.868516 2.097E-25 4.963E-01.10000.100 2178.84290.750.000000  0010001 0 0 1  0000001 0 0 1                    P113e     332220 3 3 1 1 1 0  1350.0 1362.0
441 2037.199610 2.424E-25 4.965E-01.10000.100 2147.25010.750.000000  0010001 0 0 1  0000001 0 0 1                    P112f     332220 3 3 1 1 1 0  1338.0 1350.0
441 2037.213149 2.816E-25 4.965E-01.10000.100 2127.16140.750.000000  0010000 0 0 0  0000000 0 0 0                    P118e     432220 3 3 1 1 1 0  1410.0 1422.0
441 2037.272519 2.457E-25 4.966E-01.10000.100 2144.57290.750.000000  0010001 0 0 1  0000001 0 0 1                    P112e     332220 3 3 1 1 1 0  1338.0 1350.0
441 2037.603474 2.835E-25 4.968E-01.10000.100 2113.23540.750.000000  0010001 0 0 1  0000001 0 0 1                    P111f     332220 3 3 1 1 1 0  1326.0 1338.0
441 2037.621798 3.323E-25 4.968E-01.10000.100 2091.46980.750.000000  0010000 0 0 0  0000000 0 0 0                    P117e     432220 3 3 1 1 1 0  1398.0 1410.0
441 2037.675658 2.872E-25 4.969E-01.10000.100 2110.60420.750.000000  0010001 0 0 1  0000001 0 0 1                    P111e     332220 3 3 1 1 1 0  1326.0 1338.0
441 2038.006475 3.310E-25 4.972E-01.10000.100 2079.52260.750.000000  0010001 0 0 1  0000001 0 0 1                    P110f     332220 3 3 1 1 1 0  1314.0 1326.0
441 2038.029585 3.914E-25 4.971E-01.10000.100 2056.07870.750.000000  0010000 0 0 0  0000000 0 0 0                    P116e     432220 3 3 1 1 1 0  1386.0 1398.0
441 2038.077933 3.351E-25 4.972E-01.10000.100 2076.93700.750.000000  0010001 0 0 1  0000001 0 0 1                    P110e     332220 3 3 1 1 1 0  1314.0 1326.0
441 2038.408614 3.859E-25 4.975E-01.10000.100 2046.11160.750.000000  0010001 0 0 1  0000001 0 0 1                    P109f     332220 3 3 1 1 1 0  1302.0 1314.0
441 2038.436509 4.602E-25 4.974E-01.10000.100 2020.98810.750.000000  0010000 0 0 0  0000000 0 0 0                    P115e     432220 3 3 1 1 1 0  1374.0 1386.0
441 2038.479344 3.907E-25 4.975E-01.10000.100 2043.57130.750.000000  0010001 0 0 1  0000001 0 0 1                    P109e     332220 3 3 1 1 1 0  1302.0 1314.0
441 2038.809889 4.492E-25 4.978E-01.10000.100 2013.00250.750.000000  0010001 0 0 1  0000001 0 0 1                    P108f     332220 3 3 1 1 1 0  1290.0 1302.0
441 2038.842569 5.405E-25 4.977E-01.10000.100 1986.19810.750.000000  0010000 0 0 0  0000000 0 0 0                    P114e     432220 3 3 1 1 1 0  1362.0 1374.0
441 2038.879889 4.547E-25 4.978E-01.10000.100 2010.50710.750.000000  0010001 0 0 1  0000001 0 0 1                    P108e     332220 3 3 1 1 1 0  1290.0 1302.0
441 2039.210301 5.221E-25 4.981E-01.10000.100 1980.19540.750.000000  0010001 0 0 1  0000001 0 0 1                    P107f     332220 3 3 1 1 1 0  1278.0 1290.0
441 2039.247763 6.334E-25 4.980E-01.10000.100 1951.70870.750.000000  0010000 0 0 0  0000000 0 0 0                    P113e     432220 3 3 1 1 1 0  1350.0 1362.0
441 2039.279569 5.283E-25 4.982E-01.10000.100 1977.74460.750.000000  0010001 0 0 1  0000001 0 0 1                    P107e     332220 3 3 1 1 1 0  1278.0 1290.0
441 2039.609848 6.060E-25 4.984E-01.10000.100 1947.69030.750.000000  0010001 0 0 1  0000001 0 0 1                    P106f     332220 3 3 1 1 1 0  1266.0 1278.0
441 2039.652093 7.413E-25 4.984E-01.10000.100 1917.52000.750.000000  0010000 0 0 0  0000000 0 0 0                    P112e     432220 3 3 1 1 1 0  1338.0 1350.0
441 2039.678382 6.131E-25 4.985E-01.10000.100 1945.28370.750.000000  0010001 0 0 1  0000001 0 0 1                    P106e     332220 3 3 1 1 1 0  1266.0 1278.0
441 2040.008530 7.021E-25 4.987E-01.10000.100 1915.48730.750.000000  0010001 0 0 1  0000001 0 0 1                    P105f     332220 3 3 1 1 1 0  1254.0 1266.0
441 2040.055556 8.663E-25 4.987E-01.10000.100 1883.63210.750.000000  0010000 0 0 0  0000000 0 0 0                    P111e     432220 3 3 1 1 1 0  1326.0 1338.0
