531 1501.080982 5.957E-27 6.810E-03.09350.115 2163.23060.620.000000       3 0 0 1        3 0 0 0                     P 42      336650 1 1 1 1 1 0    83.0   85.0
531 1501.124931 4.766E-21 6.764E+01.07460.094 1433.91660.760.000000       0 1 1 1        0 1 1 0                     P 97      334440 1 1 1 1 1 0   193.0  195.0
531 1501.127072 1.631E-20 3.385E+02.07960.102 1466.96660.770.000000       0 2 2 1        0 2 2 0                     P 78      335540 1 1 1 1 1 0   155.0  157.0
531 1501.183993 1.151E-29 6.889E+01.08270.106 5446.04310.760.000000       3 0 0 3        0 1 1 3                     P 68      335540 1 1 1 1 1 0   135.0  137.0
531 1501.233132 4.029E-21 2.032E+02.08110.104 1635.86390.770.000000       1 1 1 1        1 1 1 0                     P 73      335540 1 1 1 1 1 0   145.0  147.0
531 1501.264884 2.021E-25 6.801E-02.09130.114 1930.51290.650.000000       2 1 1 1        2 1 1 0                     P 46      336650 1 1 1 1 1 0    91.0   93.0
531 1501.308566 1.385E-21 6.787E+01.08610.111 1582.26300.740.000000       0 3 1 1        0 3 1 0                     P 58      335540 1 1 1 1 1 0   115.0  117.0
531 1501.352887 4.371E-21 9.487E+01.07960.102 1476.14230.770.000000       0 2 0 1        0 2 0 0                     P 78      335540 1 1 1 1 1 0   155.0  157.0
531 1501.363150 4.662E-21 5.484E+01.07080.087 1428.61810.740.000000       0 0 0 1        0 0 0 0                     P114      464440 1 2 1 1 1 0   227.0  229.0
531 1501.432334 9.777E-23 6.778E+01.07990.102 2186.06130.770.000000       0 0 0 2        0 0 0 1                     P 77      335540 1 1 1 1 1 0   153.0  155.0
531 1501.437101 2.770E-21 3.399E+02.08860.113 1748.43360.710.000000       1 2 0 1        1 2 0 0                     P 52      335540 1 1 1 1 1 0   103.0  105.0
531 1501.456658 1.750E-20 3.387E+02.07990.102 1449.86630.770.000000       0 2 2 1        0 2 2 0                     P 77      335540 1 1 1 1 1 0   153.0  155.0
531 1501.456844 5.211E-21 6.769E+01.07490.094 1413.47270.760.000000       0 1 1 1        0 1 1 0                     P 96      334440 1 1 1 1 1 0   191.0  193.0
531 1501.487487 5.017E-25 6.784E-02.08270.106 1824.03040.760.000000       2 0 0 1        2 0 0 0                     P 68      335540 1 1 1 1 1 0   135.0  137.0
531 1501.503953 9.549E-21 3.046E+02.07590.096 1589.47310.760.000000       1 0 0 1        1 0 0 0                     P 92      334440 1 1 1 1 1 0   183.0  185.0
531 1501.538694 4.287E-21 2.034E+02.08140.105 1620.39480.770.000000       1 1 1 1        1 1 1 0                     P 72      335540 1 1 1 1 1 0   143.0  145.0
531 1501.553165 2.079E-25 6.809E-02.09180.115 1920.27610.640.000000       2 1 1 1        2 1 1 0                     P 45      336650 1 1 1 1 1 0    89.0   91.0
531 1501.591763 3.380E-25 6.843E+01.10020.119 3171.34640.590.000000       0 0 0 3        0 0 0 2                     P 32      336650 1 1 1 1 1 0    63.0   65.0
531 1501.629071 6.195E-27 6.821E-03.09460.116 2145.19470.600.000000       3 0 0 1        3 0 0 0                     P 40      336650 1 1 1 1 1 0    79.0   81.0
531 1501.631642 1.452E-21 6.794E+01.08650.111 1569.05860.740.000000       0 3 1 1        0 3 1 0                     P 57      335540 1 1 1 1 1 0   113.0  115.0
531 1501.767299 1.287E-29 6.902E+01.08330.107 5417.13580.760.000000       3 0 0 3        0 1 1 3                     P 66      335540 1 1 1 1 1 0   131.0  133.0
531 1501.780023 1.875E-20 3.390E+02.08020.103 1433.05160.770.000000       0 2 2 1        0 2 2 0                     P 76      335540 1 1 1 1 1 0   151.0  153.0
531 1501.825798 2.130E-25 6.812E-02.09240.115 1910.65550.630.000000       2 1 1 1        2 1 1 0                     P 44      336650 1 1 1 1 1 0    87.0   89.0
531 1501.830595 5.730E-21 6.774E+01.07510.094 1391.81270.760.000000       0 1 1 1        0 1 1 0                     P 95      334440 1 1 1 1 1 0   189.0  191.0
531 1501.870412 4.575E-21 2.036E+02.08170.105 1604.24030.770.000000       1 1 1 1        1 1 1 0                     P 71      335540 1 1 1 1 1 0   141.0  143.0
531 1501.907183 1.512E-21 6.796E+01.08690.111 1557.04110.730.000000       0 3 1 1        0 3 1 0                     P 56      335540 1 1 1 1 1 0   111.0  113.0
531 1502.006628 5.023E-21 9.499E+01.08020.103 1442.24110.770.000000       0 2 0 1        0 2 0 0                     P 76      335540 1 1 1 1 1 0   151.0  153.0
531 1502.017121 2.973E-21 3.405E+02.08940.113 1725.91440.690.000000       1 2 0 1        1 2 0 0                     P 50      335550 1 1 1 1 1 0    99.0  101.0
531 1502.078866 1.119E-22 6.787E+01.08050.103 2152.92910.770.000000       0 0 0 2        0 0 0 1                     P 75      335540 1 1 1 1 1 0   149.0  151.0
531 1502.106622 2.006E-20 3.391E+02.08050.103 1416.39110.770.000000       0 2 2 1        0 2 2 0                     P 75      335540 1 1 1 1 1 0   149.0  151.0
531 1502.109003 3.386E-25 6.857E+01.10190.121 3157.77910.610.000000       0 0 0 3        0 0 0 2                     P 30      336650 1 1 1 1 1 0    59.0   61.0
531 1502.109712 5.619E-25 6.795E-02.08330.107 1794.67790.760.000000       2 0 0 1        2 0 0 0                     P 66      335540 1 1 1 1 1 0   131.0  133.0
531 1502.111048 2.184E-25 6.820E-02.09290.115 1900.87190.630.000000       2 1 1 1        2 1 1 0                     P 43      336650 1 1 1 1 1 0    85.0   87.0
531 1502.116816 5.847E-21 5.513E+01.07120.087 1379.21270.750.000000       0 0 0 1        0 0 0 0                     P112      464440 1 2 1 1 1 0   223.0  225.0
531 1502.160316 6.251E-21 6.779E+01.07540.095 1371.77390.760.000000       0 1 1 1        0 1 1 0                     P 94      334440 1 1 1 1 1 0   187.0  189.0
531 1502.171565 6.401E-27 6.835E-03.09590.116 2128.02740.590.000000       3 0 0 1        3 0 0 0                     P 38      336650 1 1 1 1 1 0    75.0   77.0
531 1502.173604 4.854E-21 2.037E+02.08200.106 1589.18180.770.000000       1 1 1 1        1 1 1 0                     P 70      335540 1 1 1 1 1 0   139.0  141.0
531 1502.194851 1.135E-20 3.053E+02.07640.097 1549.66350.760.000000       1 0 0 1        1 0 0 0                     P 90      334440 1 1 1 1 1 0   179.0  181.0
531 1502.226421 1.580E-21 6.800E+01.08730.112 1544.30780.720.000000       0 3 1 1        0 3 1 0                     P 55      335540 1 1 1 1 1 0   109.0  111.0
531 1502.345922 1.432E-29 6.918E+01.08400.108 5389.08330.760.000000       3 0 0 3        0 1 1 3                     P 64      335540 1 1 1 1 1 0   127.0  129.0
531 1502.381151 2.231E-25 6.825E-02.09350.115 1891.67020.620.000000       2 1 1 1        2 1 1 0                     P 42      336650 1 1 1 1 1 0    83.0   85.0
531 1502.427401 2.144E-20 3.394E+02.08080.104 1400.00960.770.000000       0 2 2 1        0 2 2 0                     P 74      335540 1 1 1 1 1 0   147.0  149.0
531 1502.500179 1.642E-21 6.807E+01.08770.112 1532.69530.720.000000       0 3 1 1        0 3 1 0                     P 54      335540 1 1 1 1 1 0   107.0  109.0
531 1502.502111 5.166E-21 2.039E+02.08230.106 1573.48720.770.000000       1 1 1 1        1 1 1 0                     P 69      335540 1 1 1 1 1 0   137.0  139.0
531 1502.530692 6.857E-21 6.784E+01.07560.095 1350.57800.760.000000       0 1 1 1        0 1 1 0                     P 93      334440 1 1 1 1 1 0   185.0  187.0
531 1502.591516 3.172E-21 3.410E+02.09030.114 1704.26870.670.000000       1 2 0 1        1 2 0 0                     P 48      336650 1 1 1 1 1 0    95.0   97.0
531 1502.620583 3.364E-25 6.875E+01.10370.123 3145.07290.620.000000       0 0 0 3        0 0 0 2                     P 28      336650 1 1 1 1 1 0    55.0   57.0
531 1502.654785 5.747E-21 9.517E+01.08080.104 1409.21270.770.000000       0 2 0 1        0 2 0 0                     P 74      335540 1 1 1 1 1 0   147.0  149.0
531 1502.663361 2.279E-25 6.830E-02.09400.116 1882.33900.610.000000       2 1 1 1        2 1 1 0                     P 41      336650 1 1 1 1 1 0    81.0   83.0
531 1502.708463 6.566E-27 6.846E-03.09720.117 2111.72870.590.000000       3 0 0 1        3 0 0 0                     P 36      336650 1 1 1 1 1 0    71.0   73.0
531 1502.719846 1.275E-22 6.799E+01.08110.104 2120.66090.770.000000       0 0 0 2        0 0 0 1                     P 73      335540 1 1 1 1 1 0   145.0  147.0
531 1502.726333 6.261E-25 6.805E-02.08400.108 1766.19350.760.000000       2 0 0 1        2 0 0 0                     P 64      335540 1 1 1 1 1 0   127.0  129.0
