471 2725.457098 3.320E-23 4.779E-01.07000.100 851.962530.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    68 68  E'      69 69  A1" 431110 2 1 0 0 0 0   137.0  139.0
471 2725.535590 2.789E-23 4.398E-01.07000.100 941.892850.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    67 62  E'      68 63  A1" 431110 2 1 0 0 0 0   135.0  137.0
471 2725.691632 2.258E-23 4.029E-01.07000.1001019.797600.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    66 56  E'      67 57  A1" 431110 2 1 0 0 0 0   133.0  135.0
471 2725.847607 2.789E-23 3.157E-01.07000.1001184.975550.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    64 41  E"      65 42  A1' 431110 2 1 0 0 0 0   129.0  131.0
471 2725.847607 2.789E-23 3.675E-01.07000.1001085.740070.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    65 50  E'      66 51  A1" 431110 2 1 0 0 0 0   131.0  133.0
471 2725.986633 2.922E-23 4.622E-01.07000.100 874.510490.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    67 65  E"      68 66  A1' 431110 2 1 0 0 0 0   135.0  137.0
471 2726.532512 3.054E-23 4.466E-01.07000.100 894.585780.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    66 62  E'      67 63  A1" 431110 2 1 0 0 0 0   133.0  135.0
471 2726.559954 2.258E-23 3.527E-01.07000.1001091.419510.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    64 47  E"      65 48  A1' 431110 2 1 0 0 0 0   129.0  131.0
471 2726.682434 2.523E-23 4.089E-01.07000.100 973.227890.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    65 56  E'      66 57  A1" 431110 2 1 0 0 0 0   131.0  133.0
471 2726.983151 3.453E-23 4.696E-01.07000.100 827.174370.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    66 65  E"      67 66  A1' 431110 2 1 0 0 0 0   133.0  135.0
471 2727.523314 3.586E-23 4.536E-01.07000.100 847.963100.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    65 62  E'      66 63  A1" 431110 2 1 0 0 0 0   131.0  133.0
471 2727.540061 1.992E-23 3.576E-01.07000.1001046.285570.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    63 47  E"      64 48  A1' 431110 2 1 0 0 0 0   127.0  129.0
471 2727.667451 2.656E-23 4.151E-01.07000.100 927.342350.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    64 56  E'      65 57  A1" 431110 2 1 0 0 0 0   129.0  131.0
471 2727.890484 2.258E-23 3.780E-01.07000.100 994.746270.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    63 50  E'      64 51  A1" 431110 2 1 0 0 0 0   127.0  129.0
471 2727.975702 4.117E-23 4.772E-01.07000.100 780.523040.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    65 65  E"      66 66  A1' 431110 2 1 0 0 0 0   131.0  133.0
471 2728.079483 3.054E-23 4.376E-01.07000.100 866.283560.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    64 59  E"      65 60  A1' 431110 2 1 0 0 0 0   129.0  131.0
471 2728.259874 2.523E-23 3.993E-01.07000.100 940.034530.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    63 53  E"      64 54  A1' 431110 2 1 0 0 0 0   127.0  129.0
471 2728.511357 3.718E-23 4.609E-01.07000.100 802.025320.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    64 62  E'      65 63  A1" 431110 2 1 0 0 0 0   129.0  131.0
471 2728.650585 2.656E-23 4.215E-01.07000.100 882.141460.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    63 56  E'      64 57  A1" 431110 2 1 0 0 0 0   127.0  129.0
471 2728.865210 2.258E-23 3.836E-01.07000.100 950.275850.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    62 50  E'      63 51  A1" 431110 2 1 0 0 0 0   125.0  127.0
471 2729.061609 3.320E-23 4.446E-01.07000.100 821.057610.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    63 59  E"      64 60  A1' 431110 2 1 0 0 0 0   127.0  129.0
471 2729.157319 1.992E-23 3.473E-01.07000.1001006.484280.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    61 44  E'      62 45  A1" 431110 2 1 0 0 0 0   123.0  125.0
471 2729.237089 2.789E-23 4.055E-01.07000.100 895.542110.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    62 53  E"      63 54  A1' 431110 2 1 0 0 0 0   125.0  127.0
471 2729.494761 4.117E-23 4.685E-01.07000.100 756.772930.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    63 62  E'      64 63  A1" 431110 2 1 0 0 0 0   127.0  129.0
471 2729.628204 3.054E-23 4.283E-01.07000.100 837.625700.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    62 56  E'      63 57  A1" 431110 2 1 0 0 0 0   125.0  127.0
471 2729.836978 2.523E-23 3.894E-01.07000.100 906.490370.700.000000 0 0 2 2 0 0E'  0 0 0 0 0 0A1'    61 50  E'      62 51  A1" 431110 2 1 0 0 0 0   123.0  125.0
