"filename", "language", "Python", "JSON", "comment", "blank", "total"
"c:\Users\Tristan\Downloads\ExoSeer\CNNEvaluation.py", "Python", -78, 0, -6, -23, -107
"c:\Users\Tristan\Downloads\ExoSeer\detection.py", "Python", 5, 0, 2, 6, 13
"c:\Users\Tristan\Downloads\ExoSeer\graphs.ipynb", "JSON", 0, 68, 0, 0, 68
"c:\Users\Tristan\Downloads\ExoSeer\lineAnalysis.py", "Python", 10, 0, 1, 0, 11
"c:\Users\Tristan\Downloads\ExoSeer\main.py", "Python", 12, 0, 0, 0, 12
"c:\Users\Tristan\Downloads\ExoSeer\test.py", "Python", 0, 0, 0, -1, -1
"Total", "-", -51, 68, -3, -18, -4
