"filename", "language", "Python", "JSON", "comment", "blank", "total"
"c:\Users\Tristan\Downloads\ExoSeer\graphs.ipynb", "JSON", 0, 135, 0, 0, 135
"c:\Users\Tristan\Downloads\ExoSeer\test.py", "Python", 0, 0, 0, 1, 1
"Total", "-", 0, 135, 0, 1, 136
